metric,cell_id,annotation,num_spots,gene,num_gene_spots,score,variance,experiment,sample
periph,207284998253504671248285979922161839605,L6b,541,Timp3,6,0.21666666666666667,0.10654394473838914,BICCN_mouse1,m1s2
periph,292144770441175621618951930942506251050,L6b,498,Timp3,1,-0.8028169014084507,0.3346747149564052,BICCN_mouse1,m1s4
periph,311010298770770694377798712098012592487,Oligo,410,Timp3,4,0.4425427872860636,0.13300255259114896,BICCN_mouse1,m1s6
periph,245377105429790917816807357503079833477,L23_IT,299,Timp3,1,0.9731543624161074,0.3355704697986576,BICCN_mouse1,m1s5
periph,155302726832070086114123178186473187472,Sst,806,Timp3,1,-0.3291925465838509,0.33416149068323,BICCN_mouse1,m1s3
periph,239429903967711596637968668081282594853,Oligo,287,Timp3,4,-0.24825174825174826,0.13285735243777194,BICCN_mouse1,m1s6
periph,198204187282444264672358642788240719451,L6_IT,1255,Timp3,1,-0.18022328548644334,0.3338649654439126,BICCN_mouse1,m1s2
periph,116445145396226865871492584403515353718,L6_IT,428,Timp3,1,-0.21311475409836064,0.3348946135831383,BICCN_mouse1,m1s4
periph,175976991255851791332686501324700050388,L6b,834,Timp3,1,-0.7382953181272509,0.3341336534613843,BICCN_mouse1,m1s2
periph,46200729229105749768756426282036842919,Pvalb,668,Timp3,2,0.22938530734632684,0.16691579247857385,BICCN_mouse1,m1s6
periph,68118362359447965403704073405081143010,L23_IT,464,Timp3,1,0.5550755939524838,0.33477321814254857,BICCN_mouse1,m1s3
periph,196983077870922340618881398804126518494,L6b,563,Timp3,3,0.9039145907473308,0.1999974671040133,BICCN_mouse1,m1s5
periph,200816747511003138494336990571080449218,L6b,852,Timp3,1,0.9247943595769684,0.33411672542107296,BICCN_mouse1,m1s2
periph,253076951925692269419578685558974561977,Oligo,294,Timp3,1,-0.06484641638225255,0.3356086461888509,BICCN_mouse1,m1s4
periph,334251424023375196460923354384542319010,SMC,331,Timp3,20,0.030303030303030307,0.04104484435062948,BICCN_mouse1,m1s1
periph,199082211988704498149717958626568937748,L23_IT,361,Timp3,2,0.6861111111111111,0.1671270576131686,BICCN_mouse1,m1s5
periph,297013783172879108123884342623757079865,L23_IT,1159,Timp3,1,-0.23316062176165805,0.3339090385722497,BICCN_mouse1,m1s4
periph,317123241120602244099149165841232809969,Pvalb,714,Timp3,1,-0.8906030855539971,0.3342683496961199,BICCN_mouse1,m1s4
periph,75384359393815959124229239704854754128,L6_CT,459,Timp3,3,0.034934497816593885,0.1999961861901948,BICCN_mouse1,m1s5
periph,199283965589542532138533135481665385517,Sst,369,Timp3,5,-0.4239130434782609,0.1420723062381853,BICCN_mouse1,m1s1
periph,335217380435705633573491024835408430387,L23_IT,846,Timp3,1,0.2260355029585799,0.3341222879684417,BICCN_mouse1,m1s1
